text,label
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: The use of such chemotherapy regimens in Ewing's tumours should be carefully considered, particularly when radiotherapy encompassing the spinal cord is an essential component of management.
Output: 

",['non-adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: METHODS: We report a patient with symptoms of small bowel obstruction whose diagnosis was confirmed by previous operation owing to a well-known pathology due to an unusual reason, perforation, which was masqueraded by therapeutic drugs.
Output: 

",['non-adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: After receiving 3 doses of ifosfamide/mesna, she was found to be unresponsive.
Output: 

",['adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: In this report, we demonstrate the fluoroquinolone class of antibiotics can be associated with prolonged electroconvulsive seizure duration.
Output: 

",['non-adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: A 58-year-old man with advanced renal cell carcinoma developed grade 3 proteinuria (8.5 g/24 h) without microscopic hematuria or renal insufficiency five days after temsirolimus infusion.
Output: 

",['adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: RESULTS: Seven patients showed marked visual field constriction with some sparing of the temporal visual field.
Output: 

",['non-adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: This report deals with a 54-year-old man with loss of memory.
Output: 

",['non-adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: She developed pruritus, edema, and urticaria over both hands.
Output: 

",['non-adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.
Output: 

",['adverse drug event']
"Definition: Adverse drug reactions are appreciably harmful or unpleasant reactions resulting from an intervention related to the use of medical products, which predicts hazard from future administration and warrants prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product. Given medical case reports extracted from MEDLINE, the task is to classify whether the case report mentions the presence of any adverse drug reaction. Classify your answers into non-adverse drug event and adverse drug event.

Positive Example 1 -
Input: A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.
Output: adverse drug event

Positive Example 2 -
Input: She responded well to Sodium valproate.
Output: non-adverse drug event

Negative Example 1 -
Input: The patient suffered from breathing trouble after taking azithromycin.
Output: serious

Negative Example 2 -
Input: The patient is feeling better at the hospital.
Output: wellness

Now complete the following example -
Input: We report on a patient who underwent renal transplantation using Campath-1H induction and tacrolimus maintenance therapy who developed HUS, which was managed by plasma exchange and switch to Rapamycin.
Output: 

",['non-adverse drug event']
